,Attack,Annotation
63,"<font color = green>POS (99.91%)</font> --> <font color = red>NEG (73.23%)</font> </br></br> <b>Original:</b> all in all , brown sugar is a <font color = green>satisfying</font> well-made <font color = green>romantic</font> <font color = green>comedy</font> that's both charming and <font color = green>well</font> <font color = green>acted</font> . it will guarantee to <font color = green>have</font> you <font color = green>leaving</font> the theater with a <font color = green>smile</font> on your <font color = green>face</font> . </br></br> <b>Perturbed:</b> all in all , brown sugar is a <font color = red>gratifying</font> well-made <font color = red>sappy</font> <font color = red>giggle</font> that's both charming and <font color = red>nice</font> <font color = red>accomplished</font> . it will guarantee to <font color = red>had</font> you <font color = red>retiring</font> the theater with a <font color = red>sheepishly</font> on your <font color = red>encounter</font> .",CONSISTENT
64,"<font color = green>POS (99.74%)</font> --> <font color = red>NEG (77.21%)</font> </br></br> <b>Original:</b> as it turns out , you can go <font color = green>home</font> again . </br></br> <b>Perturbed:</b> as it turns out , you can go <font color = red>homing</font> again .",CONSISTENT
65,"<font color = green>POS (99.94%)</font> --> <font color = red>NEG (76.13%)</font> </br></br> <b>Original:</b> a <font color = green>powerful</font> , chilling , and affecting <font color = green>study</font> of one man's <font color = green>dying</font> <font color = green>fall</font> . </br></br> <b>Perturbed:</b> a <font color = red>reliable</font> , chilling , and affecting <font color = red>consideration</font> of one man's <font color = red>kiiled</font> <font color = red>decreased</font> .",CONSISTENT
66,"<font color = red>NEG (99.81%)</font> --> <font color = green>POS (55.72%)</font> </br></br> <b>Original:</b> slap her - she's not <font color = red>funny</font> ! no french people were harmed during the making of this movie , but they were <font color = red>insulted</font> and the audience was put through torture for an hour and a half . </br></br> <b>Perturbed:</b> slap her - she's not <font color = green>outlandish</font> ! no french people were harmed during the making of this movie , but they were <font color = green>belittling</font> and the audience was put through torture for an hour and a half .",CONSISTENT
67,<font color = red>NEG (99.63%)</font> --> <font color = green>POS (79.6%)</font> </br></br> <b>Original:</b> supposedly authentic account of a historical event that's far too tragic to <font color = red>merit</font> such <font color = red>superficial</font> treatment . </br></br> <b>Perturbed:</b> supposedly authentic account of a historical event that's far too tragic to <font color = green>merits</font> such <font color = green>palpable</font> treatment .,CONSISTENT
68,<font color = green>POS (98.42%)</font> --> <font color = red>NEG (99.87%)</font> </br></br> <b>Original:</b> <font color = green>smarter</font> than its commercials make it seem . </br></br> <b>Perturbed:</b> <font color = red>artful</font> than its commercials make it seem .,CONSISTENT
69,"<font color = red>NEG (99.93%)</font> --> <font color = green>POS (85.48%)</font> </br></br> <b>Original:</b> <font color = red>shame</font> on writer/director vicente aranda for making a <font color = red>florid</font> biopic about <font color = red>mad</font> queens , <font color = red>obsessive</font> relationships , and <font color = red>rampant</font> adultery <font color = red>so</font> <font color = red>dull</font> . </br></br> <b>Perturbed:</b> <font color = green>embarassed</font> on writer/director vicente aranda for making a <font color = green>overblown</font> biopic about <font color = green>angry</font> queens , <font color = green>psychopath</font> relationships , and <font color = green>unrestrained</font> adultery <font color = green>appropriately</font> <font color = green>somber</font> .",CONSISTENT
70,"<font color = green>POS (99.7%)</font> --> <font color = red>NEG (69.53%)</font> </br></br> <b>Original:</b> it's <font color = green>easy</font> to be <font color = green>cynical</font> about documentaries in which <font color = green>underdogs</font> <font color = green>beat</font> the <font color = green>odds</font> and the <font color = green>human</font> <font color = green>spirit</font> <font color = green>triumphs</font> , but westbrook's foundation and dalrymple's <font color = green>film</font> earn their uplift . </br></br> <b>Perturbed:</b> it's <font color = red>simplistic</font> to be <font color = red>brutish</font> about documentaries in which <font color = red>underdog</font> <font color = red>defeats</font> the <font color = red>coincidence</font> and the <font color = red>humanistic</font> <font color = red>schnapps</font> <font color = red>wins</font> , but westbrook's foundation and dalrymple's <font color = red>stills</font> earn their uplift .",CONSISTENT
71,"<font color = green>POS (99.66%)</font> --> <font color = red>NEG (74.28%)</font> </br></br> <b>Original:</b> pete's <font color = green>screenplay</font> manages to find that <font color = green>real</font> <font color = green>natural</font> , even-flowing <font color = green>tone</font> that few movies are able to accomplish . </br></br> <b>Perturbed:</b> pete's <font color = red>supposition</font> manages to find that <font color = red>actual</font> <font color = red>inborn</font> , even-flowing <font color = red>tons</font> that few movies are able to accomplish .",I DON'T KNOW
72,"<font color = red>NEG (99.95%)</font> --> <font color = green>POS (63.13%)</font> </br></br> <b>Original:</b> <font color = red>swims</font> in <font color = red>mediocrity</font> , <font color = red>sticking</font> its <font color = red>head</font> up for a breath of <font color = red>fresh</font> air now and then . </br></br> <b>Perturbed:</b> <font color = green>swim</font> in <font color = green>wallowing</font> , <font color = green>squeezing</font> its <font color = green>leader</font> up for a breath of <font color = green>sweet</font> air now and then .",I DON'T KNOW
73,<font color = red>NEG (99.93%)</font> --> <font color = green>POS (63.03%)</font> </br></br> <b>Original:</b> you cannot <font color = red>guess</font> why the <font color = red>cast</font> and crew didn't sign a pact to burn the negative and the <font color = red>script</font> and <font color = red>pretend</font> the whole <font color = red>thing</font> never <font color = red>existed</font> . </br></br> <b>Perturbed:</b> you cannot <font color = green>conceive</font> why the <font color = green>smelting</font> and crew didn't sign a pact to burn the negative and the <font color = green>scenario</font> and <font color = green>asserting</font> the whole <font color = green>asia</font> never <font color = green>dominated</font> .,I DON'T KNOW
74,<font color = red>NEG (99.94%)</font> --> <font color = green>POS (85.17%)</font> </br></br> <b>Original:</b> sade achieves the near-impossible : it <font color = red>turns</font> the marquis de sade into a <font color = red>dullard</font> . </br></br> <b>Perturbed:</b> sade achieves the near-impossible : it <font color = green>translates</font> the marquis de sade into a <font color = green>moron</font> .,CONSISTENT
75,"<font color = green>POS (99.89%)</font> --> <font color = red>NEG (88.97%)</font> </br></br> <b>Original:</b> this kind of hands-on <font color = green>storytelling</font> is <font color = green>ultimately</font> what makes <font color = green>shanghai</font> ghetto <font color = green>move</font> beyond a <font color = green>good</font> , dry , <font color = green>reliable</font> <font color = green>textbook</font> and what allows it to <font color = green>rank</font> with its <font color = green>worthy</font> <font color = green>predecessors</font> . </br></br> <b>Perturbed:</b> this kind of hands-on <font color = red>narrator</font> is <font color = red>maybe</font> what makes <font color = red>shenzhen</font> ghetto <font color = red>displacement</font> beyond a <font color = red>buena</font> , dry , <font color = red>reputable</font> <font color = red>textbooks</font> and what allows it to <font color = red>categorized</font> with its <font color = red>laudable</font> <font color = red>predecessor</font> .",CONSISTENT
76,"<font color = green>POS (98.25%)</font> --> <font color = red>NEG (87.92%)</font> </br></br> <b>Original:</b> the film has a laundry list of minor shortcomings , but the <font color = green>numerous</font> scenes of gory mayhem are worth the price of admission . . . if "" gory mayhem "" is your idea of a good <font color = green>time</font> . </br></br> <b>Perturbed:</b> the film has a laundry list of minor shortcomings , but the <font color = red>numberless</font> scenes of gory mayhem are worth the price of admission . . . if "" gory mayhem "" is your idea of a good <font color = red>dated</font> .",CONSISTENT
77,"<font color = red>NEG (99.93%)</font> --> <font color = green>POS (99.7%)</font> </br></br> <b>Original:</b> broder's <font color = red>screenplay</font> is <font color = red>shallow</font> , <font color = red>offensive</font> and <font color = red>redundant</font> , with <font color = red>pitifully</font> <font color = red>few</font> <font color = red>real</font> <font color = red>laughs</font> . </br></br> <b>Perturbed:</b> broder's <font color = green>supposition</font> is <font color = green>evident</font> , <font color = green>unsavory</font> and <font color = green>unwarranted</font> , with <font color = green>regretfully</font> <font color = green>rare</font> <font color = green>realistic</font> <font color = green>pleasantries</font> .",CONSISTENT
78,"<font color = red>NEG (99.85%)</font> --> <font color = green>POS (97.02%)</font> </br></br> <b>Original:</b> hart's <font color = red>war</font> seems to <font color = red>want</font> to be a <font color = red>character</font> <font color = red>study</font> , but <font color = red>apparently</font> can't <font color = red>quite</font> <font color = red>decide</font> which <font color = red>character</font> . </br></br> <b>Perturbed:</b> hart's <font color = green>battlefields</font> seems to <font color = green>wouldnt</font> to be a <font color = green>peculiarity</font> <font color = green>examination</font> , but <font color = green>vividly</font> can't <font color = green>rather</font> <font color = green>picks</font> which <font color = green>idiosyncrasies</font> .",CONSISTENT
79,<font color = green>POS (99.93%)</font> --> <font color = red>NEG (99.93%)</font> </br></br> <b>Original:</b> nothing <font color = green>short</font> of a <font color = green>masterpiece</font> -- and a <font color = green>challenging</font> one . </br></br> <b>Perturbed:</b> nothing <font color = red>little</font> of a <font color = red>backbone</font> -- and a <font color = red>provocation</font> one .,INCONSISTENT
80,<font color = red>NEG (99.83%)</font> --> <font color = green>POS (99.78%)</font> </br></br> <b>Original:</b> a full-frontal <font color = red>attack</font> on audience patience . </br></br> <b>Perturbed:</b> a full-frontal <font color = green>blasts</font> on audience patience .,CONSISTENT
81,"<font color = red>NEG (99.94%)</font> --> <font color = green>POS (94.83%)</font> </br></br> <b>Original:</b> once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea isn't <font color = red>funny</font> . </br></br> <b>Perturbed:</b> once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea isn't <font color = green>offbeat</font> .",CONSISTENT
82,"<font color = green>POS (99.95%)</font> --> <font color = red>NEG (76.99%)</font> </br></br> <b>Original:</b> lan <font color = green>yu</font> is a genuine <font color = green>love</font> <font color = green>story</font> , full of <font color = green>traditional</font> <font color = green>layers</font> of <font color = green>awakening</font> and <font color = green>ripening</font> and <font color = green>separation</font> and recovery . </br></br> <b>Perturbed:</b> lan <font color = red>woo</font> is a genuine <font color = red>affectionate</font> <font color = red>conte</font> , full of <font color = red>routine</font> <font color = red>grades</font> of <font color = red>causing</font> and <font color = red>mature</font> and <font color = red>seperate</font> and recovery .",I DON'T KNOW
83,"<font color = red>NEG (99.94%)</font> --> <font color = green>POS (86.29%)</font> </br></br> <b>Original:</b> an <font color = red>inept</font> , <font color = red>tedious</font> <font color = red>spoof</font> of '70s <font color = red>kung</font> <font color = red>fu</font> <font color = red>pictures</font> , it contains almost enough <font color = red>chuckles</font> for a three-minute sketch , and no more . </br></br> <b>Perturbed:</b> an <font color = green>capable</font> , <font color = green>strenuous</font> <font color = green>simulation</font> of '70s <font color = green>jung</font> <font color = green>tiger</font> <font color = green>photographers</font> , it contains almost enough <font color = green>pleasantries</font> for a three-minute sketch , and no more .",INCONSISTENT
84,"<font color = green>POS (99.92%)</font> --> <font color = red>NEG (51.97%)</font> </br></br> <b>Original:</b> how i killed my <font color = green>father</font> would be a rarity in hollywood . it's an actor's <font color = green>showcase</font> that <font color = green>accomplishes</font> its primary goal without the use of special effects , but rather by emphasizing the characters -- <font color = green>including</font> the supporting ones . </br></br> <b>Perturbed:</b> how i killed my <font color = red>forebears</font> would be a rarity in hollywood . it's an actor's <font color = red>shown</font> that <font color = red>contemplates</font> its primary goal without the use of special effects , but rather by emphasizing the characters -- <font color = red>comprised</font> the supporting ones .",CONSISTENT
85,<font color = green>POS (99.81%)</font> --> <font color = red>NEG (57.08%)</font> </br></br> <b>Original:</b> another <font color = green>best</font> of the year selection . </br></br> <b>Perturbed:</b> another <font color = red>better</font> of the year selection .,CONSISTENT
86,"<font color = green>POS (98.89%)</font> --> <font color = red>NEG (57.4%)</font> </br></br> <b>Original:</b> gangs , despite the gravity of its subject matter , is often as fun to watch as a <font color = green>good</font> spaghetti <font color = green>western</font> . </br></br> <b>Perturbed:</b> gangs , despite the gravity of its subject matter , is often as fun to watch as a <font color = red>appropriate</font> spaghetti <font color = red>ouest</font> .",CONSISTENT
87,"<font color = green>POS (99.96%)</font> --> <font color = red>NEG (99.37%)</font> </br></br> <b>Original:</b> a melancholy , <font color = green>emotional</font> <font color = green>film</font> . </br></br> <b>Perturbed:</b> a melancholy , <font color = red>psychological</font> <font color = red>scorsese</font> .",INCONSISTENT
88,<font color = green>POS (99.9%)</font> --> <font color = red>NEG (98.6%)</font> </br></br> <b>Original:</b> this <font color = green>seductive</font> tease of a <font color = green>thriller</font> <font color = green>gets</font> the job done . it's a scorcher . </br></br> <b>Perturbed:</b> this <font color = red>leggy</font> tease of a <font color = red>melodrama</font> <font color = red>ha</font> the job done . it's a scorcher .,I DON'T KNOW
89,<font color = green>POS (99.83%)</font> --> <font color = red>NEG (99.89%)</font> </br></br> <b>Original:</b> <font color = green>great</font> character interaction . </br></br> <b>Perturbed:</b> <font color = red>gargantuan</font> character interaction .,CONSISTENT
90,<font color = red>NEG (99.91%)</font> --> <font color = green>POS (99.94%)</font> </br></br> <b>Original:</b> a <font color = red>terrible</font> movie that some people will nevertheless find moving . </br></br> <b>Perturbed:</b> a <font color = green>harrowing</font> movie that some people will nevertheless find moving .,CONSISTENT
91,"<font color = green>POS (99.89%)</font> --> <font color = red>NEG (99.95%)</font> </br></br> <b>Original:</b> surprisingly , the film is a <font color = green>hilarious</font> <font color = green>adventure</font> and i shamelessly <font color = green>enjoyed</font> it . </br></br> <b>Perturbed:</b> surprisingly , the film is a <font color = red>unfunny</font> <font color = red>itinerary</font> and i shamelessly <font color = red>rained</font> it .",INCONSISTENT
92,"<font color = green>POS (99.89%)</font> --> <font color = red>NEG (93.81%)</font> </br></br> <b>Original:</b> [shyamalan] continues to cut a swathe through mainstream hollywood , while retaining an integrity and <font color = green>refusing</font> to compromise his vision . </br></br> <b>Perturbed:</b> [shyamalan] continues to cut a swathe through mainstream hollywood , while retaining an integrity and <font color = red>wastes</font> to compromise his vision .",CONSISTENT
93,"<font color = red>NEG (99.94%)</font> --> <font color = green>POS (99.23%)</font> </br></br> <b>Original:</b> . . <font color = red>little</font> <font color = red>action</font> , almost no suspense or <font color = red>believable</font> <font color = red>tension</font> , one-dimensional <font color = red>characters</font> up the wazoo and <font color = red>sets</font> that can only <font color = red>be</font> <font color = red>described</font> as sci-fi generic . </br></br> <b>Perturbed:</b> . . <font color = green>lightweight</font> <font color = green>work</font> , almost no suspense or <font color = green>compelling</font> <font color = green>tensions</font> , one-dimensional <font color = green>idiosyncrasies</font> up the wazoo and <font color = green>games</font> that can only <font color = green>represent</font> <font color = green>listed</font> as sci-fi generic .",CONSISTENT
94,"<font color = green>POS (99.91%)</font> --> <font color = red>NEG (55.86%)</font> </br></br> <b>Original:</b> like <font color = green>kissing</font> <font color = green>jessica</font> <font color = green>stein</font> , amy's <font color = green>orgasm</font> <font color = green>has</font> a <font color = green>key</font> <font color = green>strength</font> in its <font color = green>willingness</font> to <font color = green>explore</font> its <font color = green>principal</font> <font color = green>characters</font> with <font color = green>honesty</font> , <font color = green>insight</font> and <font color = green>humor</font> . </br></br> <b>Perturbed:</b> like <font color = red>fuck</font> <font color = red>cynthia</font> <font color = red>greenberg</font> , amy's <font color = red>hump</font> <font color = red>had</font> a <font color = red>notable</font> <font color = red>resistance</font> in its <font color = red>wishing</font> to <font color = red>navigate</font> its <font color = red>prime</font> <font color = red>peculiarity</font> with <font color = red>humility</font> , <font color = red>acumen</font> and <font color = red>lighthearted</font> .",I DON'T KNOW
95,<font color = green>POS (99.95%)</font> --> <font color = red>NEG (99.89%)</font> </br></br> <b>Original:</b> it <font color = green>works</font> its magic with such exuberance and <font color = green>passion</font> that the film's <font color = green>length</font> <font color = green>becomes</font> a part of its fun . </br></br> <b>Perturbed:</b> it <font color = red>labor</font> its magic with such exuberance and <font color = red>emotions</font> that the film's <font color = red>lengths</font> <font color = red>buys</font> a part of its fun .,CONSISTENT
96,"<font color = red>NEG (99.8%)</font> --> <font color = green>POS (65.84%)</font> </br></br> <b>Original:</b> the characters . . . are paper-thin , and their personalities <font color = red>undergo</font> <font color = red>radical</font> changes when it <font color = red>suits</font> the <font color = red>script</font> . </br></br> <b>Perturbed:</b> the characters . . . are paper-thin , and their personalities <font color = green>experienced</font> <font color = green>utmost</font> changes when it <font color = green>adapts</font> the <font color = green>scenario</font> .",CONSISTENT
97,"<font color = red>NEG (99.66%)</font> --> <font color = green>POS (71.78%)</font> </br></br> <b>Original:</b> as earnest as a community-college <font color = red>advertisement</font> , american chai is enough to make you put away the guitar , sell the amp , and apply to medical school . </br></br> <b>Perturbed:</b> as earnest as a community-college <font color = green>noticing</font> , american chai is enough to make you put away the guitar , sell the amp , and apply to medical school .",CONSISTENT
98,"<font color = red>NEG (99.93%)</font> --> <font color = green>POS (66.58%)</font> </br></br> <b>Original:</b> a film that presents an interesting , even sexy <font color = red>premise</font> then <font color = red>ruins</font> itself with too many contrivances and <font color = red>goofy</font> situations . </br></br> <b>Perturbed:</b> a film that presents an interesting , even sexy <font color = green>posit</font> then <font color = green>desolation</font> itself with too many contrivances and <font color = green>entertaining</font> situations .",INCONSISTENT
99,"<font color = green>POS (99.87%)</font> --> <font color = red>NEG (60.23%)</font> </br></br> <b>Original:</b> in addition to scoring <font color = green>high</font> for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & stitch <font color = green>has</font> a number of other assets to commend it to movie audiences both <font color = green>innocent</font> and jaded . </br></br> <b>Perturbed:</b> in addition to scoring <font color = red>widest</font> for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & stitch <font color = red>did</font> a number of other assets to commend it to movie audiences both <font color = red>innocuous</font> and jaded .",CONSISTENT

